CV_ID,Score,Tier
CV_01,100.0,Strong
CV_02,90.1,Strong
CV_05,86.2,Strong
CV_04,72.1,Strong
CV_09,60.1,Medium
CV_03,59.7,Medium
CV_06,59.6,Medium
CV_08,46.1,Medium
CV_07,42.6,Medium
CV_11,40.6,Medium
CV_10,31.4,Weak
CV_12,31.4,Weak
CV_16,30.8,Weak
CV_27,14.6,Weak
CV_25,9.5,Weak
CV_26,9.0,Weak
CV_20,6.1,Weak
CV_29,5.6,Weak
CV_13,4.8,Weak
CV_14,2.4,Weak
CV_24,0.0,Weak
CV_28,0.0,Weak
CV_22,0.0,Weak
CV_23,0.0,Weak
CV_15,0.0,Weak
CV_21,0.0,Weak
CV_19,0.0,Weak
CV_18,0.0,Weak
CV_17,0.0,Weak
CV_30,0.0,Weak
